1;0;28;1;5,12,20
2;3;15;2;
3;3;35;1;7,16,25
4;5;10;2;3
5;7;22;1;6,15
6;8;18;2;8
7;10;40;1;10,20,30
8;11;12;2;5
9;12;30;1;8,18
10;14;25;2;10
11;15;8;1;3
12;16;20;2;7,14
13;18;33;1;9,19,27
14;19;14;2;
15;21;27;1;6,13,21
16;22;17;2;6
17;24;38;1;11,22,31
18;26;9;2;4
19;28;24;1;7,16
20;30;16;2;8
21;31;31;1;9,18,24
22;33;13;2;5
23;34;29;1;8,17
24;36;19;2;7
25;37;36;1;10,21,30
26;39;11;2;4
27;41;26;1;7,15
28;42;21;2;9
29;43;34;1;12,22,29
30;45;8;2;3
31;47;23;1;6,14
32;48;17;2;7
33;50;32;1;8,18,25
34;51;14;2;5
35;53;28;1;9,19
36;54;20;2;8
37;56;39;1;13,24,33
38;57;10;2;
39;59;27;1;7,16
40;61;18;2;6
41;62;33;1;10,20,27
42;64;15;2;5
43;66;30;1;8,18
44;67;22;2;9
45;69;37;1;11,23,31
46;71;12;2;4
47;72;26;1;7,16
48;74;19;2;8
49;76;35;1;10,21,28
50;77;13;2;
51;79;29;1;8,17
52;81;16;2;6
53;82;31;1;9,19,26
54;84;11;2;4
55;86;24;1;6,14
56;87;20;2;8
57;89;38;1;12,22,30
58;91;14;2;5
59;92;27;1;7,17
60;94;18;2;7
61;96;34;1;10,20,27
62;97;9;2;3
63;99;25;1;8,16
64;101;21;2;9
65;102;32;1;11,21,28
66;104;15;2;5
67;106;30;1;9,18
68;107;17;2;6
69;109;36;1;13,23,31
70;111;10;2;4
71;112;28;1;7,16
72;114;19;2;8
73;116;33;1;10,20,27
74;117;12;2;
75;119;26;1;8,17
76;121;22;2;9
77;122;31;1;11,21
78;124;14;2;5
79;126;29;1;7,16,24
80;127;18;2;7
81;129;35;1;10,20,28
82;131;11;2;4
83;132;24;1;6,14
84;134;20;2;8
85;136;37;1;12,23,30
86;137;13;2;5
87;139;27;1;8,17
88;141;16;2;6
89;142;32;1;9,19,26
90;144;9;2;3
91;146;25;1;7,15
92;147;21;2;8
93;149;30;1;10,19
94;151;17;2;6
95;152;34;1;11,21,28
96;154;12;2;4
97;156;28;1;8,18
98;157;19;2;7
99;159;33;1;9,20,27
100;161;14;2;5
